UPRN,Unique Asset ID,Name of Building/Land,"Street
No.",Street Name,Locality,Postal Town,Postcode,Easting,Northing,Ownership,"occupied by
local
authority*
(physical
occupation
of the","ground
leasehold",leasehold,Licence,vacant,Other,"Land or land &
building"
200003122279,STR/SH/01/03,Unit 3 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,,,Lease out,,,,Land & buildings
200003103850,STR/SH/01/04,Unit 4 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,,,Lease out,,,,Land & buildings
200003103849,STR/SH/01/05,Unit 5 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,,,Lease out,,,,Land & buildings
200003122273,STR/SH/01/06,Unit 6 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,,,Lease out,,,,Land & buildings
200003122274,STR/SH/01/07,Unit 7 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,,,Lease out,,,,Land & buildings
200003103848,STR/SH/01/08,Unit 8 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,,,Lease out,,,,Land & buildings
100121373975,STR/SH/01/09,Unit 9 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,,,Lease out,,,,Land & buildings
200003109644,STR/ST/01,Store 1 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,Yes,,,,,,Land & buildings
200003109643,STR/ST/02,Store 2 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,,,Lease out,,,,Land & buildings
200003109642,STR/ST/03,Store 3 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,Yes,,,,,,Land & buildings
200003109641,STR/ST/04,Store 4 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,Yes,,,,,,Land & buildings
200003109640,STR/ST/05,Store 5 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,Yes,,,,,,Land & buildings
200003106105,STO/IN/03/16,Unit 16 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X:379776,Y: 205713,Leasehold,,,Sub lease out,,,,Land & buildings
200003106105,STO/IN/03/17,Unit 17 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379770,Y: 205700,Leasehold,,,Sub lease out,,,,Land & buildings
10009414962,STO/IN/03/18,Unit 18 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379766,Y: 205691,Leasehold,,,Sub lease out,,,,Land & buildings
200003120301,STO/IN/03/19,Unit 19 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379763,Y: 205680,Leasehold,,,Sub lease out,,,,Land & buildings
200003106107,STO/IN/03/20,Unit 20 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379758,Y: 205666,Leasehold,,,Sub lease out,,,,Land & buildings
200003106110,STO/IN/03/21,Unit 21 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379717,Y: 205722,Leasehold,,,Sub lease out,,,,Land & buildings
200003108862,STO/IN/03/22,Unit 22 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379717,Y: 205710,Leasehold,,,Sub lease out,,,,Land & buildings
200003108863,STO/IN/03/23,Unit 23 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379712,Y: 205697,Leasehold,,,Sub lease out,,,,Land & buildings
200003106111,STO/IN/03/24,Unit 24 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379707,Y: 205685,Leasehold,,,Sub lease out,,,,Land & buildings
200003108833,STO/IN/04/25,Unit 25 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379704,Y: 205625,Leasehold,,,Sub lease out,,,,Land & buildings
100121373937,STO/IN/04/26,Unit 26 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379707,Y: 205635,Leasehold,,,Sub lease out,,,,Land & buildings
200003108844,STO/IN/04/27,Unit 27 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379712,Y: 205646,Leasehold,,,Sub lease out,,,,Land & buildings
